QID4,QID66,QID9,QID11,QID11_8_TEXT,QID43,QID10_TEXT,QID27_4,QID27_16,QID27_5,QID27_18,QID27_20,QID27_21,QID13,QID19,QID19_5_TEXT,QID45,QID45_12_TEXT,QID49_1,QID49_2,QID49_4,QID49_5,QID49_6,QID49_7,QID46_1,QID46_12,QID46_3,QID46_4,QID46_10,QID64_1,QID64_3,QID64_6,QID64_7,QID64_8,QID39_1,QID39_2,QID39_3,QID39_4,QID39_5,QID39_6,QID62,QID61_1,QID61_2,QID61_10,QID61_5,QID61_6,QID61_7,QID60_1,QID60_3,QID60_6,QID60_7,QID63_1,QID63_2,QID63_4,QID63_5,QID63_6,QID63_7
2,1,3,4,,5,5,4,4,5,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,8,9",2,1,3,3,2,2,2,3,3,3,,,,,,
2,4,1,4,,4,2,4,4,4,4,4,4,1,1,,"1,5,9",,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,4,5,2,1,6,,,,,,,,,,,,,,,,,
2,1,1,4,,4,2,1,1,1,1,1,1,1,1,,"1,4,9",,3,4,3,3,4,4,4,4,4,4,4,3,4,4,3,2,2,3,4,6,5,1,,,,,,,,,,,,,,,,,
2,4,3,4,,4,4,4,4,5,4,4,4,1,3,,"1,4,2,5,9",,4,3,3,2,3,3,4,4,4,4,4,3,3,4,3,3,1,5,4,2,3,6,,,,,,,,,,,,,,,,,
2,1,1,4,,3,2,3,4,5,4,4,2,1,1,,12,cars,3,1,1,2,1,2,2,2,2,2,2,3,2,3,3,2,4,3,6,2,1,5,,,,,,,,,,,,,,,,,
1,4,1,4,,3,2,3,4,4,3,4,4,1,3,,"5,9",,3,3,3,2,4,3,4,4,3,3,3,4,4,4,4,4,3,2,4,5,6,1,,,,,,,,,,,,,,,,,
2,1,1,4,,4,5,4,4,5,3,2,3,1,3,,"1,2,5,9",,4,5,4,3,2,3,4,4,4,3,4,3,3,4,1,2,3,2,4,5,1,6,,,,,,,,,,,,,,,,,
2,2,1,4,,2,7,3,5,5,3,3,4,1,3,,"1,4,2,9",,4,4,4,2,4,4,5,5,5,5,5,4,4,4,2,1,4,5,1,2,6,3,,,,,,,,,,,,,,,,,
2,1,3,4,,5,3,5,4,4,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9,10",1,1,1,1,1,1,3,2,4,5,,,,,,
2,1,1,4,,4,3,3,4,4,3,3,3,1,3,,"1,2,5,9",,3,3,2,2,3,3,4,4,4,3,4,2,3,4,4,3,1,6,2,4,5,3,,,,,,,,,,,,,,,,,
2,1,3,4,,3,5,4,5,5,4,4,5,1,"2,3",,"1,4,2,5,9",,3,4,3,2,3,3,4,3,4,4,3,3,3,4,3,2,3,6,4,2,1,5,,,,,,,,,,,,,,,,,
2,4,3,4,,3,4,4,4,3,4,4,4,1,3,,9,,3,3,2,2,2,3,3,4,4,4,4,2,2,4,2,2,4,3,6,2,1,5,,,,,,,,,,,,,,,,,
2,4,3,4,,2,3,5,5,4,4,4,5,1,"1,3,5",quillbot,"1,5,9,12","essay help, getting more information about certain topics",4,4,4,3,2,4,3,4,4,4,4,4,4,4,1,3,2,6,4,5,3,1,,,,,,,,,,,,,,,,,
2,6,1,4,,4,2,4,4,3,4,3,4,1,3,,"1,2,9",,4,4,4,2,3,3,4,4,5,3,3,2,5,5,2,2,2,3,4,6,1,5,,,,,,,,,,,,,,,,,
1,6,3,4,,2,3,4,5,5,4,4,5,1,"2,3",,"1,12",i just thought it was fun,2,3,4,3,3,3,3,4,2,2,2,2,4,4,1,3,1,3,6,4,5,2,,,,,,,,,,,,,,,,,
2,3,1,4,,2,2,4,4,3,4,5,4,1,"1,2,3",,"1,5,9",,4,3,4,3,2,4,3,4,5,3,3,3,4,4,4,4,1,6,3,4,2,5,,,,,,,,,,,,,,,,,
2,4,3,4,,4,1,3,4,5,4,5,5,1,1,,"1,4,2,5,9",,2,3,3,4,3,2,4,4,3,5,5,5,5,5,5,5,1,3,6,2,5,4,,,,,,,,,,,,,,,,,
2,4,3,4,,2,2,4,5,5,4,5,4,1,3,,"1,5,12",I've used ChatGPT to write satirical blocks of text and help with my resume. ,4,2,1,3,5,3,2,2,2,2,1,3,3,4,2,3,1,4,6,5,3,2,,,,,,,,,,,,,,,,,
2,1,1,4,,3,2,4,5,4,4,5,5,1,3,,"1,2,9",,3,4,4,4,4,3,4,5,4,2,4,4,4,5,3,4,3,2,4,5,6,1,,,,,,,,,,,,,,,,,
2,1,3,4,,3,3,4,5,5,5,4,3,1,"1,3",,"1,4,2,5,9,12",writing papers,4,3,4,4,4,4,5,5,5,5,5,3,5,5,4,1,3,6,2,4,1,5,,,,,,,,,,,,,,,,,
2,2,3,4,,3,4,4,4,5,4,4,4,1,"1,3",,"1,4,2,9",,3,3,4,2,2,3,4,4,4,3,4,4,4,4,2,3,3,6,4,2,1,5,,,,,,,,,,,,,,,,,
2,1,1,4,,3,3,2,5,3,5,4,4,1,"1,3",,"1,5",,2,3,4,2,1,1,1,2,4,2,3,4,3,5,3,4,2,3,6,4,5,1,,,,,,,,,,,,,,,,,
2,1,1,4,,2,6,5,5,5,5,5,5,1,"1,3",,"1,4,2,5,9",,4,3,4,3,3,4,4,4,5,5,5,5,5,5,1,1,3,4,1,2,6,5,,,,,,,,,,,,,,,,,
1,1,1,4,,3,1,4,4,4,4,4,4,1,3,,"1,4,2,5,9,12",revising / improving essays and written materials,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,6,3,5,4,1,,,,,,,,,,,,,,,,,
2,4,1,4,,2,5,4,5,5,4,3,4,1,3,,"1,4,2,5,9",,3,3,4,4,3,3,4,4,4,2,4,4,3,5,4,5,1,3,2,4,6,5,,,,,,,,,,,,,,,,,
1,1,3,4,,3,4,2,3,5,3,4,4,1,3,,"1,5,9",,4,3,5,2,3,4,4,5,4,4,4,3,3,4,4,4,1,5,3,4,6,2,,,,,,,,,,,,,,,,,
2,6,1,6,,4,2,3,4,5,4,4,4,1,3,,"1,9,12","To provide new ideas, for when I am stuck looking for a solution to my code.",3,2,4,1,4,4,5,5,4,5,5,2,4,3,1,1,1,2,4,6,5,3,,,,,,,,,,,,,,,,,
2,4,1,4,,5,2,4,4,4,4,4,4,1,3,,9,,4,3,3,2,4,3,4,4,4,4,4,4,4,4,5,2,4,5,3,1,2,6,,,,,,,,,,,,,,,,,
1,8,1,4,,3,2,4,5,5,5,5,5,1,3,,12,entertainment,3,3,4,2,3,2,1,1,1,1,1,3,1,1,1,1,3,4,6,1,2,5,,,,,,,,,,,,,,,,,
1,4,3,4,,3,2,3,4,4,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,9",3,3,3,2,2,2,3,3,4,3,,,,,,
2,2,3,4,,2,1.5,4,4,5,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4",3,2,4,3,3,3,3,4,3,2,,,,,,
2,8,3,4,,3,2,1,1,1,1,1,1,1,"1,3,5",Dallee,"1,4,2,5,9,12",Everything,3,2,4,3,4,3,4,4,4,3,2,3,3,4,1,1,1,6,5,4,3,2,,,,,,,,,,,,,,,,,
1,4,3,4,,3,3,2,4,5,4,4,4,1,3,,"1,4,2,5,9",,4,4,4,2,3,4,4,4,4,4,4,4,3,5,2,4,1,5,3,2,6,4,,,,,,,,,,,,,,,,,
1,4,3,4,,2,2,3,4,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,9",3,2,2,3,1,2,1,3,1,4,,,,,,
1,4,1,4,,2,3,4,5,4,4,4,4,1,3,,"1,5",,4,4,3,4,3,4,3,3,4,3,3,3,3,4,4,3,4,3,2,1,6,5,,,,,,,,,,,,,,,,,
2,1,3,4,,3,10,5,4,5,5,3,2,1,"1,3",,"1,4,2,5,9",,2,2,4,3,3,3,4,4,4,4,4,4,4,5,2,3,6,5,1,3,4,2,,,,,,,,,,,,,,,,,
2,8,1,4,,4,3,4,5,5,4,5,5,1,"1,2,3",,"1,4,2,5,9",,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,6,3,2,4,1,,,,,,,,,,,,,,,,,
2,1,3,4,,2,4,4,2,4,3,3,4,1,"1,2,3",,"1,4,2,5,9,12","Writing prompts to get ideas for writing emails, essays, or any other lengthy prompt",2,3,2,3,3,2,3,2,4,4,4,1,5,5,4,4,2,5,6,3,4,1,,,,,,,,,,,,,,,,,
2,4,1,4,,2,6,5,5,5,5,5,5,1,"1,3,5",Google's Bard AI,"1,4,2,5,9",,1,2,5,1,3,2,4,4,4,2,3,2,3,4,3,2,1,2,6,3,4,5,,,,,,,,,,,,,,,,,
2,1,1,4,,2,2,4,5,5,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,8,9",4,4,5,5,4,3,2,3,4,2,,,,,,
2,6,3,4,,3,2,4,4,5,4,4,4,1,"1,3",,"1,5",,3,3,3,2,3,4,4,4,4,3,4,3,3,4,3,2,2,6,5,4,3,1,,,,,,,,,,,,,,,,,
2,1,1,4,,3,5,2,5,5,2,2,3,1,3,,"1,2,5,9",,2,2,3,2,4,3,4,4,4,3,3,4,3,5,1,2,5,3,4,2,1,6,,,,,,,,,,,,,,,,,
3,1,3,4,,3,8,5,2,4,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,10",1,5,3,1,1,1,3,2,4,1,,,,,,
1,4,1,4,,3,3,1,5,5,4,4,5,1,"1,3",,"1,4,2,5,9,12",writing essay and asking general questions,5,5,5,4,5,5,5,5,5,5,5,1,2,5,4,2,2,5,6,3,1,4,,,,,,,,,,,,,,,,,
2,8,3,4,,4,3,4,5,5,4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,3,2,4,1,3,4,4,1,,,,,,
1,1,1,4,,3,2,3,4,4,3,4,4,1,3,,"1,4,2,9",,3,2,4,2,3,3,4,5,5,5,5,3,3,4,4,4,3,5,2,1,4,6,,,,,,,,,,,,,,,,,
1,4,3,4,,3,3,3,4,5,5,5,4,1,"1,3",,"1,4,2,5,9",,3,1,4,3,5,3,5,5,5,5,5,2,3,4,2,1,5,6,3,2,1,4,,,,,,,,,,,,,,,,,
2,4,3,4,,3,3,4,4,4,4,4,5,1,"1,3",,"1,5,9",,4,2,4,2,3,3,3,4,4,4,5,2,4,4,2,1,1,5,3,6,2,4,,,,,,,,,,,,,,,,,
2,1,1,4,,2,2,4,4,3,4,4,5,1,3,,"1,5",,5,5,5,5,2,5,4,4,5,5,5,2,4,5,1,2,1,2,4,5,6,3,,,,,,,,,,,,,,,,,
2,4,1,4,,2,2,4,5,5,4,4,5,1,"1,2,3",,"1,4,2,5,9",,3,4,2,2,3,3,4,4,4,4,4,4,4,4,3,2,2,3,5,1,4,6,,,,,,,,,,,,,,,,,
2,8,1,4,,2,2,5,5,4,5,5,5,1,"1,3",,"1,9",,4,4,5,2,4,4,5,5,5,5,4,5,5,5,1,1,1,5,6,4,3,2,,,,,,,,,,,,,,,,,
2,2,3,4,,2,6,5,5,5,4,4,5,1,"2,3",,"1,4,2,5,9",,4,4,4,2,4,4,4,2,4,4,4,2,4,4,2,4,2,4,3,5,6,1,,,,,,,,,,,,,,,,,
2,4,1,4,,3,3,2,4,4,3,3,3,1,3,,"1,5",,2,2,3,2,3,2,2,3,4,3,3,4,4,3,2,3,2,4,6,5,3,1,,,,,,,,,,,,,,,,,
1,4,1,4,,2,2,2,4,4,4,4,2,1,3,,"1,4,2,5,9",,2,4,4,2,4,4,5,5,5,5,5,4,4,5,2,4,4,6,3,2,1,5,,,,,,,,,,,,,,,,,
2,1,1,4,,4,3,4,5,5,4,4,3,1,2,,"1,5,9",,2,3,4,1,3,3,4,4,4,4,3,2,3,3,4,2,3,6,5,2,1,4,,,,,,,,,,,,,,,,,
2,1,3,4,,4,3,5,5,5,5,5,5,1,"1,2,3",,"1,4,2,5,9",,3,2,3,2,3,4,5,5,5,5,5,5,5,5,5,5,1,6,5,4,3,2,,,,,,,,,,,,,,,,,
2,8,1,4,,3,3,4,5,4,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3",2,1,3,3,3,2,2,2,1,4,,,,,,
2,4,1,4,,2,4,4,4,4,5,5,5,1,"1,3",,"1,5,9,12",na,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,6,4,1,3,5,,,,,,,,,,,,,,,,,
2,4,3,4,,2,2,4,5,4,4,4,4,1,3,,"1,5,9",,4,3,4,2,3,4,4,4,4,4,3,3,4,4,4,3,1,6,5,3,2,4,,,,,,,,,,,,,,,,,
2,1,1,4,,4,1,4,4,5,5,5,3,1,3,,"1,5",,3,2,3,3,1,3,3,3,4,3,2,4,4,3,2,4,1,6,3,5,2,4,,,,,,,,,,,,,,,,,
2,8,3,4,,2,3,5,4,5,5,2,4,1,3,,"1,9",,4,2,3,3,3,4,4,3,5,3,5,1,3,4,2,3,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,1,3,4,,3,6,4,5,5,4,3,4,1,"2,3",,"1,9",,1,2,4,1,1,1,3,4,3,3,3,4,2,4,2,3,1,2,6,4,5,3,,,,,,,,,,,,,,,,,
1,4,3,4,,2,1,4,4,4,4,4,5,1,3,,12,Using it to generate interview responses/outlines for essays,4,4,2,3,2,4,3,3,3,4,4,4,3,4,2,2,2,3,5,4,6,1,,,,,,,,,,,,,,,,,
2,4,3,4,,2,4,2,5,5,5,5,5,1,3,,"1,2,5,9",,4,4,4,2,4,4,4,4,4,4,4,4,3,4,1,2,2,4,3,5,6,1,,,,,,,,,,,,,,,,,
2,4,3,4,,2,3,4,5,4,3,3,4,1,3,,"2,9",,2,2,3,1,3,3,3,4,2,3,3,4,3,4,3,5,2,6,5,1,3,4,,,,,,,,,,,,,,,,,
2,2,1,4,,2,1,2,4,5,3,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,2,3,2,5,2,5,4,,,,,,
2,4,3,4,,3,2,4,4,5,4,5,4,1,1,,"1,2",,2,3,4,3,3,3,3,5,5,3,4,3,3,4,5,5,2,5,6,4,3,1,,,,,,,,,,,,,,,,,
2,1,3,4,,2,5,1,3,3,2,1,1,1,3,,"1,4,5,9",,2,1,4,3,4,3,1,4,1,1,1,4,1,4,4,4,1,2,5,4,3,6,,,,,,,,,,,,,,,,,
2,4,3,4,,3,8,5,4,5,5,4,5,1,"3,5",bing,"9,12","understanding the runtime of a complicated algorithm(GPT is usually wrong with complex algorithms), used it once to check math answers(GPT isn't the brightest when it comes to math)",3,2,4,1,3,3,3,2,4,3,4,4,4,5,2,2,2,6,5,3,4,1,,,,,,,,,,,,,,,,,
2,8,3,4,,3,2,4,5,4,4,2,3,1,1,,"1,12",to test how the ai actually works by asking just general question,3,2,2,1,2,2,2,2,4,2,2,2,3,3,4,5,1,2,6,5,3,4,,,,,,,,,,,,,,,,,
4,8,3,4,,2,5,4,3,5,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,10",1,2,4,4,1,1,4,3,5,3,,,,,,
2,1,1,4,,2,2,4,5,5,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,8,9,10",2,2,3,2,2,3,4,3,5,3,,,,,,
1,4,3,4,,1,2,4,5,4,4,4,4,1,3,,"1,2,5,9",,4,4,3,3,4,4,4,5,5,3,4,3,4,4,4,3,4,5,6,3,2,1,,,,,,,,,,,,,,,,,
1,8,3,4,,3,3,5,4,5,5,4,5,1,3,,12,Entertainment,2,1,2,1,2,2,3,3,3,3,4,3,4,4,1,2,1,3,6,5,4,2,,,,,,,,,,,,,,,,,
2,1,3,4,,2,5,4,3,5,5,4,4,1,3,,"1,2,5,9,12",Experimenting with ai-written fanfic,4,2,4,2,4,4,5,4,4,3,3,3,3,4,1,1,1,2,5,6,4,3,,,,,,,,,,,,,,,,,
2,4,1,4,,4,1,4,4,4,4,4,4,1,3,,"1,12","writing essays,etc",3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,3,5,6,4,1,,,,,,,,,,,,,,,,,
